Modelo,Base,Otimizador,Replica,Inf_cut,Sup_cut,MAPE_otimizador,MAPE_test
RandomForest,Real_estate,differential-evol,5,0.10576030517807855,0.3108907006822149,0.1082684762390813,0.11531472588155384
RandomForest,Real_estate,differential-evol,4,0.10452143120688678,0.3104044636718783,0.1082684762390813,0.137097138401173
RandomForest,Real_estate,differential-evol,3,0.08640419421996826,0.9794546212155506,0.10895410408751359,0.15327161846800197
RandomForest,Real_estate,differential-evol,2,0.2586205628375689,0.2957063033264865,0.10925011819528574,0.14135024560957324
RandomForest,Real_estate,differential-evol,1,0.10465325791069646,0.31151974887876244,0.1082684762390813,0.14334950418543368
RandomForest,Real_estate,direct,5,0.08847736625514406,0.3477366255144033,0.10783376824625447,0.11780371241294774
RandomForest,Real_estate,direct,4,0.08847736625514406,0.3477366255144033,0.10783376824625447,0.13368530036613274
RandomForest,Real_estate,direct,3,0.08847736625514406,0.3477366255144033,0.10783376824625447,0.12127901165840482
RandomForest,Real_estate,direct,2,0.08847736625514406,0.3477366255144033,0.10783376824625447,0.11964936557847893
RandomForest,Real_estate,direct,1,0.08847736625514406,0.3477366255144033,0.10783376824625447,0.1356935654712578
RandomForest,Real_estate,brute,5,0.30000000000000004,0.30000000000000004,0.10925322129994004,0.12896714912436086
RandomForest,Real_estate,brute,4,0.30000000000000004,0.30000000000000004,0.10925322129994004,0.135876743428735
RandomForest,Real_estate,brute,3,0.30000000000000004,0.30000000000000004,0.10925322129994004,0.13581792599899561
RandomForest,Real_estate,brute,2,0.30000000000000004,0.30000000000000004,0.10925322129994004,0.11340744224406558
RandomForest,Real_estate,brute,1,0.30000000000000004,0.30000000000000004,0.10925322129994004,0.1157064105015168
RandomForest,Financial_Distress,differential-evol,5,0.12048951955607584,0.20917882224220985,0.5652364466647471,0.5900217628384986
RandomForest,Financial_Distress,differential-evol,4,0.12054200263491144,0.20917527947891434,0.5652364466647471,0.6268101509879523
RandomForest,Financial_Distress,differential-evol,3,0.13700204834930546,0.23222505384337178,0.5670145945750897,0.5971254256163292
RandomForest,Financial_Distress,differential-evol,2,0.12060549014261518,0.20904172033563667,0.5652364466647471,0.607388041166429
RandomForest,Financial_Distress,differential-evol,1,0.1205204151281618,0.20918751458812174,0.5652364466647471,0.5925261048641108
RandomForest,Financial_Distress,direct,5,0.12048468221307729,0.20919067215363515,0.5652364466647471,0.5743215956195937
RandomForest,Financial_Distress,direct,4,0.12048468221307729,0.20919067215363515,0.5652364466647471,0.5795203790780501
RandomForest,Financial_Distress,direct,3,0.12048468221307729,0.20919067215363515,0.5652364466647471,0.6022259312947065
RandomForest,Financial_Distress,direct,2,0.12048468221307729,0.20919067215363515,0.5652364466647471,0.614525849383242
RandomForest,Financial_Distress,direct,1,0.12048468221307729,0.20919067215363515,0.5652364466647471,0.6559918282013589
RandomForest,Financial_Distress,brute,5,0.13593750000000002,0.21312499999999995,0.5689331921773862,0.6136078866458731
RandomForest,Financial_Distress,brute,4,0.13593750000000002,0.21312499999999995,0.5689331921773862,0.5896835123612566
RandomForest,Financial_Distress,brute,3,0.13593750000000002,0.21312499999999995,0.5689331921773862,0.5829999325542519
RandomForest,Financial_Distress,brute,2,0.13593750000000002,0.21312499999999995,0.5689331921773862,0.5815357332117126
RandomForest,Financial_Distress,brute,1,0.13593750000000002,0.21312499999999995,0.5689331921773862,0.6180976801271847
RandomForest,solar_radiation,differential-evol,5,0.041930861191410984,0.5528188206327658,0.21484657150740222,0.25970972019065475
RandomForest,solar_radiation,differential-evol,4,0.042433199695699586,0.5527423048220574,0.21484657150740222,0.2561266933522984
RandomForest,solar_radiation,differential-evol,3,0.0406363190442548,0.5527713336038782,0.21484657150740222,0.3385998080696579
RandomForest,solar_radiation,differential-evol,2,0.03820002997434446,0.5527332482675485,0.21484657150740222,0.22642935029641514
RandomForest,solar_radiation,differential-evol,1,0.029888960528364872,0.5527538402510159,0.21484657150740222,0.23538782534177372
RandomForest,solar_radiation,direct,5,0.049154092363968935,0.552735863435452,0.21484657150740222,0.2521481681818773
RandomForest,solar_radiation,direct,4,0.049154092363968935,0.552735863435452,0.21484657150740222,0.3355815393911669
RandomForest,solar_radiation,direct,3,0.049154092363968935,0.552735863435452,0.21484657150740222,0.24470091406037586
RandomForest,solar_radiation,direct,2,0.049154092363968935,0.552735863435452,0.21484657150740222,0.2277301585947212
RandomForest,solar_radiation,direct,1,0.049154092363968935,0.552735863435452,0.21484657150740222,0.28904229979574125
RandomForest,solar_radiation,brute,5,0.050988769531250006,0.5454345703125001,0.21618009961476128,0.24002018203001685
