Base,ordem_1,ordem_2,ordem_3,ordem_4,ordem_5,ordem_6,kurtosis,skewness
wind_dataset,0.0,24.769471284748327,79.59199832276107,1970.5138961540556,17848.57366190009,309629.3065820493,0.21178177142073817,0.6456457609789956
Real_estate,0.0,184.68931783705574,1500.131116994484,175271.92145307205,8389294.471152263,670588163.5974526,2.1384104628947442,0.5976770142537495
Financial_Distress,0.0,7.032393161995405,575.5254438029805,71819.37380471345,9127846.489841253,1162264985.760644,1449.2297462750032,30.86098716712188
solar_radiation,0.0,99800.1103066315,43181340.37992011,34968007227.5848,24874898016725.97,1.9436800934865412e+16,0.5108222385707175,1.3696184164285883
medical_cost,0.0,146542766.49354792,2686111288410.453,9.869426379347357e+16,3.1429684332464256e+21,1.1355581348353819e+26,1.595821363956751,1.5141797118745743
house_rent,0.0,6099326320.165035,1.0195323376256284e+16,3.1369321272284864e+22,1.0611003998402225e+29,3.655139385663661e+35,840.2209414974224,21.40317495642137
employee_performance,0.0,0.030351951413510454,-0.004383343718844093,0.003144673796693907,-0.0009353350987950474,0.0004902922152690649,0.4135193197437341,-0.8289447771527675
car_price,0.0,661833165058.9252,2.237722299904032e+18,1.0346359775557638e+25,5.186665774755981e+31,2.8728342976176654e+38,20.62057815944144,4.15607523221113
Blueberry_Yield,0.0,1838957.9445762425,-801090952.6297158,8851556406868.18,-1.0814282519146204e+16,6.705205325051412e+19,-0.38256415013249745,-0.3212359418224656
bike_sharing_hour,0.0,32899.56793087735,7622170.540421313,4780284468.904706,2369099448894.5312,1395985836770635.8,1.4164503546887417,1.2773013463494975
